question_id,year,question_text,category,is_active,answer_set,previous_answer_set,valid_to,first_seen_year,previous_version_id,match_score,answer_set_version,text_changed
2021_2021_1,2021,What is your age?,Demographics,False,"[{'AnswerOptionID': 1, 'OptionText': 'Under 18', 'OptionOrder': 1}, {'AnswerOptionID': 2, 'OptionText': '18-30', 'OptionOrder': 2}, {'AnswerOptionID': 3, 'OptionText': '31-50', 'OptionOrder': 3}, {'AnswerOptionID': 4, 'OptionText': 'Over 50', 'OptionOrder': 4}]",,2022,2021.0,,,1,False
2021_2021_2,2021,What is your highest level of education?,Demographics,False,"[{'AnswerOptionID': 5, 'OptionText': 'High School', 'OptionOrder': 1}, {'AnswerOptionID': 6, 'OptionText': ""Bachelor's Degree"", 'OptionOrder': 2}, {'AnswerOptionID': 7, 'OptionText': ""Master's Degree"", 'OptionOrder': 3}, {'AnswerOptionID': 8, 'OptionText': 'Doctorate', 'OptionOrder': 4}]",,2022,2021.0,,,1,False
2021_2021_3,2021,How familiar are you with Topic A?,Research Topic A,False,"[{'AnswerOptionID': 9, 'OptionText': 'Not at all familiar', 'OptionOrder': 1}, {'AnswerOptionID': 10, 'OptionText': 'Somewhat familiar', 'OptionOrder': 2}, {'AnswerOptionID': 11, 'OptionText': 'Very familiar', 'OptionOrder': 3}, {'AnswerOptionID': 12, 'OptionText': 'Expert', 'OptionOrder': 4}]",,2022,2021.0,,,1,False
2021_2021_4,2021,Have you participated in research on Topic B before?,Research Topic B,False,"[{'AnswerOptionID': 13, 'OptionText': 'Yes', 'OptionOrder': 1}, {'AnswerOptionID': 14, 'OptionText': 'No', 'OptionOrder': 2}]",,2022,2021.0,,,1,False
2022_2022_1,2022,What is your age group?,Demographics,False,"[{'AnswerOptionID': 1, 'OptionText': '18-25', 'OptionOrder': 1}, {'AnswerOptionID': 2, 'OptionText': '26-35', 'OptionOrder': 2}, {'AnswerOptionID': 3, 'OptionText': '36-50', 'OptionOrder': 3}, {'AnswerOptionID': 4, 'OptionText': '51 or older', 'OptionOrder': 4}]",,2022,,2021_1,85.0,1,False
2022_2022_2,2022,What is your highest level of education?,Demographics,False,"[{'AnswerOptionID': 5, 'OptionText': 'High School', 'OptionOrder': 1}, {'AnswerOptionID': 6, 'OptionText': ""Bachelor's Degree"", 'OptionOrder': 2}, {'AnswerOptionID': 7, 'OptionText': ""Master's Degree"", 'OptionOrder': 3}, {'AnswerOptionID': 8, 'OptionText': 'Doctorate', 'OptionOrder': 4}]",,2022,,2021_2,100.0,1,False
2022_2022_3,2022,Rate your expertise in Topic A:,Research Topic A,False,"[{'AnswerOptionID': 9, 'OptionText': 'Novice', 'OptionOrder': 1}, {'AnswerOptionID': 10, 'OptionText': 'Intermediate', 'OptionOrder': 2}, {'AnswerOptionID': 11, 'OptionText': 'Advanced', 'OptionOrder': 3}, {'AnswerOptionID': 12, 'OptionText': 'Expert', 'OptionOrder': 4}]",,2022,2022.0,,,1,False
2022_2022_4,2022,How often do you engage with Topic B in your work?,Research Topic B,False,"[{'AnswerOptionID': 13, 'OptionText': 'Daily', 'OptionOrder': 1}, {'AnswerOptionID': 14, 'OptionText': 'Weekly', 'OptionOrder': 2}, {'AnswerOptionID': 15, 'OptionText': 'Monthly', 'OptionOrder': 3}, {'AnswerOptionID': 16, 'OptionText': 'Rarely or never', 'OptionOrder': 4}]",,2022,2022.0,,,1,False
2022_2022_5,2022,Are you interested in learning about Topic C?,New Topic C,False,"[{'AnswerOptionID': 17, 'OptionText': 'Very interested', 'OptionOrder': 1}, {'AnswerOptionID': 18, 'OptionText': 'Somewhat interested', 'OptionOrder': 2}, {'AnswerOptionID': 19, 'OptionText': 'Not interested', 'OptionOrder': 3}]",,2022,2022.0,,,1,False
2023_2023_1,2023,What is your age range?,Demographics,True,"[{'AnswerOptionID': 1, 'OptionText': '18-29', 'OptionOrder': 1}, {'AnswerOptionID': 2, 'OptionText': '30-44', 'OptionOrder': 2}, {'AnswerOptionID': 3, 'OptionText': '45-60', 'OptionOrder': 3}, {'AnswerOptionID': 4, 'OptionText': '61 or older', 'OptionOrder': 4}]",,,,2022_1,83.0,1,False
2023_2023_2,2023,What is your highest academic qualification?,Demographics,True,"[{'AnswerOptionID': 5, 'OptionText': 'High School Diploma', 'OptionOrder': 1}, {'AnswerOptionID': 6, 'OptionText': ""Bachelor's Degree"", 'OptionOrder': 2}, {'AnswerOptionID': 7, 'OptionText': ""Master's Degree"", 'OptionOrder': 3}, {'AnswerOptionID': 8, 'OptionText': 'Doctorate or Professional Degree', 'OptionOrder': 4}]",,,,2022_2,74.0,1,False
2023_2023_3,2023,How would you assess your knowledge of Topic A?,Research Topic A,True,"[{'AnswerOptionID': 9, 'OptionText': 'Basic understanding', 'OptionOrder': 1}, {'AnswerOptionID': 10, 'OptionText': 'Practical application knowledge', 'OptionOrder': 2}, {'AnswerOptionID': 11, 'OptionText': 'Advanced theoretical knowledge', 'OptionOrder': 3}, {'AnswerOptionID': 12, 'OptionText': 'Expert with original contributions', 'OptionOrder': 4}]",,,2023.0,,,1,False
2023_2023_4,2023,"In the past year, how has your involvement with Topic B changed?",Research Topic B,True,"[{'AnswerOptionID': 13, 'OptionText': 'Significantly increased', 'OptionOrder': 1}, {'AnswerOptionID': 14, 'OptionText': 'Slightly increased', 'OptionOrder': 2}, {'AnswerOptionID': 15, 'OptionText': 'Remained the same', 'OptionOrder': 3}, {'AnswerOptionID': 16, 'OptionText': 'Decreased', 'OptionOrder': 4}]",,,2023.0,,,1,False
2023_2023_5,2023,How has Topic C influenced your work or research?,Topic C,True,"[{'AnswerOptionID': 17, 'OptionText': 'Major influence', 'OptionOrder': 1}, {'AnswerOptionID': 18, 'OptionText': 'Moderate influence', 'OptionOrder': 2}, {'AnswerOptionID': 19, 'OptionText': 'Minor influence', 'OptionOrder': 3}, {'AnswerOptionID': 20, 'OptionText': 'No influence', 'OptionOrder': 4}]",,,2023.0,,,1,False
2023_2023_6,2023,What aspect of Topic D interests you the most?,New Topic D,True,"[{'AnswerOptionID': 21, 'OptionText': 'Theoretical foundations', 'OptionOrder': 1}, {'AnswerOptionID': 22, 'OptionText': 'Practical applications', 'OptionOrder': 2}, {'AnswerOptionID': 23, 'OptionText': 'Future developments', 'OptionOrder': 3}, {'AnswerOptionID': 24, 'OptionText': 'Interdisciplinary connections', 'OptionOrder': 4}]",,,2023.0,,,1,False
